해시태그,게시물 수(M),좋아요 수,댓글 수,점유시간(H)
캠핑,8.3,637,28,19.43
필라테스,5.7,798,33,25
국내여행,3.34,1432,85,33
오오티디,56.11,646,22,13.42
미스트,0.22,511,21,343
패션스타그램,11.89,610,23,21.62
맛집,30.57,755,59,29
주말,31.03,776,28,31
요리,6.39,1334,42,32
카페,37.11,361,27,14.88
눈썹문신,3.35,49,11,3.02
헬스,11.1,604,28,18.98
카페스타그램,14.01,546,27,36
커피,16.83,644,34,46
화장품,3.12,524,20,39
데일리,154.47,870,29,16.92
그림,14.69,2803,18,29
셀카,94.17,588,20,10.08
립스틱,0.68,1560,18,402
제주,13.89,618,34,22.5
