해시태그,차지 비율(%),분야
일상,5.02,일상
korea,4.98,지리/국가
seoul,4.78,지리/국가
southkorea,3.5,지리/국가
daily,3.05,일상
travel,2.82,여행
데일리,2.75,일상
소통,2.42,소통
맞팔,2.23,소통
좋아요,2.02,소통
selfie,1.84,사진
셀카,1.7,사진
서울,1.69,지리/국가
ootd,1.65,패션
instagood,1.62,사진
셀스타그램,1.6,사진
선팔,1.56,소통
여행,1.46,여행
먹스타그램,1.36,f&b
셀피,1.36,사진
팔로우,1.26,소통
photography,1.2,사진
부산,1.19,지리/국가
f4f,1.04,소통
bts,1.02,기타
카페,0.98,f&b
instadaily,0.97,일상
love,0.92,사랑
일상스타그램,0.92,일상
follow,0.91,소통
